object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_eff,event_rate_scaled,dvs_position_error_px,dvs_inter_event_time_s,dvs_missed_fraction,dvs_detection_completeness,dvs_tracking_quality,cis_actual_fps,cis_frame_time_s,cis_position_error_px,cis_motion_blur_px,cis_missed_fraction,cis_detection_completeness,cis_tracking_quality
100,500,low_texture,med_threshold,0.2,304480.0,304480.0,0.001642,3.284e-06,0.0,0.909091,0.9076,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
100,500,low_texture,high_threshold,0.4,152240.0,152240.0,0.003284,6.569e-06,0.0,0.909091,0.906115,50.0,0.02,15.0,5.0,0.0,0.952381,0.059524
100,1000,low_texture,low_threshold,0.1,1217920.0,1217920.0,0.000821,8.21e-07,0.0,0.909091,0.908345,100.0,0.01,15.0,5.0,0.0,0.952381,0.059524
100,1000,low_texture,med_threshold,0.2,608960.0,608960.0,0.001642,1.642e-06,0.0,0.909091,0.9076,100.0,0.01,15.0,5.0,0.0,0.952381,0.059524
100,1000,low_texture,high_threshold,0.4,304480.0,304480.0,0.003284,3.284e-06,0.0,0.909091,0.906115,100.0,0.01,15.0,5.0,0.0,0.952381,0.059524
100,2000,low_texture,low_threshold,0.1,2435840.0,2435840.0,0.000821,4.11e-07,0.0,0.909091,0.908345,178.91,0.005589,16.7682,5.5894,0.10545,0.847197,0.04768
100,2000,low_texture,med_threshold,0.2,1217920.0,1217920.0,0.001642,8.21e-07,0.0,0.909091,0.9076,178.91,0.005589,16.7682,5.5894,0.10545,0.847197,0.04768
100,2000,low_texture,high_threshold,0.4,608960.0,608960.0,0.003284,1.642e-06,0.0,0.909091,0.906115,178.91,0.005589,16.7682,5.5894,0.10545,0.847197,0.04768
25,10,high_texture,low_threshold,0.1,29233.6,29233.6,0.000342,3.4207e-05,0.0,0.909091,0.90878,4.0,0.25,3.75,1.25,0.0,0.952381,0.200501
25,10,high_texture,med_threshold,0.2,14616.8,14616.8,0.000684,6.8414e-05,0.0,0.909091,0.908469,4.0,0.25,3.75,1.25,0.0,0.952381,0.200501
