frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
58,0.1,low_threshold,clean,28390,851700,851700,0.1678,345.458,0.136,0.014,0.007,345.608
58,0.1,low_threshold,noisy,103194,3095820,3095820,0.1678,345.458,0.494,0.052,0.026,346.003
59,0.1,low_threshold,clean,29668,890040,890040,0.1678,345.458,0.142,0.015,0.007,345.615
59,0.1,low_threshold,noisy,104732,3141960,3141960,0.1678,345.458,0.501,0.053,0.026,346.011
60,0.1,low_threshold,clean,38006,1140180,1140180,0.1678,345.458,0.182,0.019,0.01,345.659
60,0.1,low_threshold,noisy,112190,3365700,3365700,0.1678,345.458,0.537,0.056,0.028,346.051
61,0.1,low_threshold,clean,36759,1102770,1102770,0.1678,345.458,0.176,0.019,0.009,345.652
61,0.1,low_threshold,noisy,110856,3325680,3325680,0.1678,345.458,0.53,0.056,0.028,346.044
62,0.1,low_threshold,clean,29277,878310,878310,0.1678,345.458,0.14,0.015,0.007,345.612
62,0.1,low_threshold,noisy,104344,3130320,3130320,0.1678,345.458,0.499,0.053,0.026,346.009
63,0.1,low_threshold,clean,29076,872280,872280,0.1678,345.458,0.139,0.015,0.007,345.611
63,0.1,low_threshold,noisy,103873,3116190,3116190,0.1678,345.458,0.497,0.052,0.026,346.007
64,0.1,low_threshold,clean,34386,1031580,1031580,0.1678,345.458,0.164,0.017,0.009,345.639
64,0.1,low_threshold,noisy,108656,3259680,3259680,0.1678,345.458,0.52,0.055,0.027,346.032
65,0.1,low_threshold,clean,29301,879030,879030,0.1678,345.458,0.14,0.015,0.007,345.613
65,0.1,low_threshold,noisy,104397,3131910,3131910,0.1678,345.458,0.499,0.053,0.026,346.01
66,0.1,low_threshold,clean,29500,885000,885000,0.1678,345.458,0.141,0.015,0.007,345.614
66,0.1,low_threshold,noisy,103781,3113430,3113430,0.1678,345.458,0.496,0.052,0.026,346.006
67,0.1,low_threshold,clean,29385,881550,881550,0.1678,345.458,0.141,0.015,0.007,345.613
