sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
DAVIS346,DVS,theta=0.05,0.05,,False,5,10.0,0.1331,0.3267,0.1399,0.3721,0.2236,2113,23799,31542
DAVIS346,DVS,theta=0.05,0.05,,True,1,10.0,0.1545,0.5017,0.125,0.5266,0.2519,2320,40587,48300
DAVIS346,DVS,theta=0.05,0.05,,True,2,10.0,0.1535,0.4983,0.1209,0.5211,0.2376,2406,40527,48298
DAVIS346,DVS,theta=0.05,0.05,,True,3,10.0,0.1553,0.5016,0.1193,0.5271,0.2409,2429,40766,48367
DAVIS346,DVS,theta=0.05,0.05,,True,4,10.0,0.155,0.4969,0.122,0.5163,0.2543,2233,40491,48251
DAVIS346,DVS,theta=0.05,0.05,,True,5,10.0,0.1538,0.4983,0.1251,0.5124,0.2508,2374,40766,48353
DAVIS346,DVS,theta=0.10,0.1,,False,1,10.0,0.1371,0.329,0.1348,0.3751,0.2357,2086,23895,31412
DAVIS346,DVS,theta=0.10,0.1,,False,2,10.0,0.1388,0.3308,0.1389,0.3829,0.2372,2045,24022,31549
DAVIS346,DVS,theta=0.10,0.1,,False,3,10.0,0.1374,0.3299,0.1332,0.3752,0.2268,2046,23974,31507
DAVIS346,DVS,theta=0.10,0.1,,False,4,10.0,0.1334,0.3265,0.1329,0.3728,0.2122,2097,23789,31480
DAVIS346,DVS,theta=0.10,0.1,,False,5,10.0,0.1331,0.3267,0.1399,0.3721,0.2236,2113,23799,31542
DAVIS346,DVS,theta=0.10,0.1,,True,1,10.0,0.1545,0.5017,0.125,0.5266,0.2519,2320,40587,48300
DAVIS346,DVS,theta=0.10,0.1,,True,2,10.0,0.1535,0.4983,0.1209,0.5211,0.2376,2406,40527,48298
DAVIS346,DVS,theta=0.10,0.1,,True,3,10.0,0.1553,0.5016,0.1193,0.5271,0.2409,2429,40766,48367
DAVIS346,DVS,theta=0.10,0.1,,True,4,10.0,0.155,0.4969,0.122,0.5163,0.2543,2233,40491,48251
DAVIS346,DVS,theta=0.10,0.1,,True,5,10.0,0.1538,0.4983,0.1251,0.5124,0.2508,2374,40766,48353
DAVIS346,DVS,theta=0.20,0.2,,False,1,10.0,0.1371,0.329,0.1348,0.3751,0.2357,2086,23895,31412
DAVIS346,DVS,theta=0.20,0.2,,False,2,10.0,0.1388,0.3308,0.1389,0.3829,0.2372,2045,24022,31549
